"transaction_id,date,account_name,category_name,type,amount,description"
"4001,2025-11-01,Checking,Groceries,Expense,92.60,Target groceries"
"4002,2025-11-01,Credit Card,Coffee,Expense,6.25,Starbucks latte"
"4003,2025-11-02,Credit Card,Gas,Expense,63.10,Chevron fuel"
"4004,2025-11-03,Checking,Utilities: Internet,Expense,35.00,Xfinity monthly bill"
"4005,2025-11-03,Checking,Utilities: Electric,Expense,138.90,Tucson Electric Power usage"
"4006,2025-11-04,Credit Card,Restaurants,Expense,34.50,Panda Express dinner"
"4007,2025-11-05,Checking,Income: Paycheck,Income,1400.00,Biweekly paycheck"
"4008,2025-11-05,Checking,Charitable Giving,Expense,140.00,Church tithe"
"4009,2025-11-06,Credit Card,Clothing,Expense,78.30,H&M sweater"
"4010,2025-11-07,Credit Card,Entertainment,Expense,15.99,Music streaming subscription"
"4011,2025-11-08,Credit Card,Groceries,Expense,109.80,Walmart groceries"
"4012,2025-11-09,Checking,Health & Personal Care,Expense,24.90,Pharmacy items"
"4013,2025-11-10,Credit Card,Gas,Expense,61.70,Chevron refill"
"4014,2025-11-12,Credit Card,Restaurants,Expense,45.25,Cheesecake Factory"
"4015,2025-11-14,Checking,Savings Transfer,Transfer,250.00,Transfer to savings"
"4016,2025-11-15,Checking,Income: Paycheck,Income,1400.00,Biweekly paycheck"
"4017,2025-11-16,Credit Card,Coffee,Expense,6.10,Starbucks cold brew"
"4018,2025-11-18,Credit Card,Groceries,Expense,98.45,Target groceries"
"4019,2025-11-20,Checking,Entertainment,Expense,32.00,Friendsgiving event"
"4020,2025-11-22,Credit Card,Household,Expense,27.60,Dollar Tree storage"
"4021,2025-11-24,Credit Card,Gas,Expense,58.95,Chevron fuel"
"4022,2025-11-26,Checking,Restaurants,Expense,52.80,Thanksgiving dinner out"
"4023,2025-11-28,Credit Card,Coffee,Expense,6.35,Starbucks holiday drink"
"4024,2025-11-30,Checking,Groceries,Expense,104.90,End of month groceries"
